date,time,lat,lon,depth,ML,fixed,quality
1991-01-19,0 days 13:52:22,23.7108,121.6007,2.33,4.76,N,C
1991-01-19,0 days 13:24:11,23.6948,121.5805,5.58,5.0,N,C
1991-01-19,0 days 12:28:44,23.1183,123.875,10.27,4.61,N,D
1991-01-18,0 days 22:53:10,23.6903,121.5972,4.15,4.68,N,C
1991-01-18,0 days 12:40:09,23.7308,121.2338,3.29,4.49,N,B
1991-01-18,0 days 10:54:35,23.6712,121.3062,2.46,4.83,N,B
1991-01-18,0 days 10:49:56,23.6892,121.2912,0.85,5.0,N,B
1991-01-18,0 days 01:39:04,23.6712,121.2882,0.7,4.44,N,C
1991-01-18,0 days 01:36:27,23.6815,121.2655,0.79,5.36,N,B
1991-01-17,0 days 20:31:53,23.8317,122.594,16.08,5.47,N,C
1991-01-12,0 days 23:16:42,23.8017,121.6043,17.42,4.34,N,C
1991-01-12,0 days 04:56:55,22.7422,120.5888,40.02,4.54,N,C
1991-01-10,0 days 23:20:07,24.8298,122.2685,90.97,4.41,N,C
1991-01-09,0 days 01:18:30,21.6338,120.288,41.01,4.5,N,C
1991-01-07,0 days 17:27:00,23.6698,122.8492,11.97,4.16,N,C
1991-01-04,0 days 00:22:27,23.7047,122.6573,3.72,4.32,N,C
1991-01-02,0 days 23:19:00,23.6753,121.288,0.39,4.29,N,B
1991-02-25,0 days 09:42:25,23.9345,121.4895,16.79,4.48,N,C
1991-02-25,0 days 09:13:45,22.9023,121.2888,5.07,4.24,N,B
1991-02-24,0 days 13:30:32,23.5645,120.7742,0.39,4.71,N,B
1991-02-24,0 days 08:26:17,24.2913,123.3993,3.69,4.17,N,C
1991-02-23,0 days 09:08:19,24.3415,123.4192,3.02,4.21,N,C
1991-02-19,0 days 15:05:21,23.8703,121.609,0.83,4.12,N,C
1991-02-18,0 days 02:59:42,23.8047,121.6062,0.37,4.12,N,C
1991-02-17,0 days 13:52:26,24.4673,122.8942,74.17,4.08,N,C
1991-02-15,0 days 10:45:39,21.3572,121.6882,175.14,4.2,N,D
1991-02-14,0 days 19:50:51,24.4648,122.7645,27.0,4.03,N,D
1991-02-13,0 days 16:34:45,23.237,121.6718,33.55,4.03,N,C
1991-02-12,0 days 15:30:48,24.3092,123.4113,3.96,4.87,N,C
1991-02-11,0 days 22:22:11,24.3625,123.2508,10.03,4.43,N,C
1991-02-11,0 days 22:17:38,23.8355,121.6385,1.71,4.3,N,C
1991-02-08,0 days 13:01:11,24.9382,123.2052,155.3,4.15,N,C
